rank,channel_info,influence_score,posts,followers,avg_likes,60_day_eng_rate,new_post_avg_like,total_likes,country,category,demographics,content_style,collaboration_rate,embedding
11,kendalljenner,90,660,254000000,5500000,2.04%,5100000,3700000000,United States,Fashion & Modeling,"{'age_range': '25-30', 'gender': 'Female', 'languages': ['English']}","{'tone': 'High Fashion', 'formats': ['Photos', 'Stories'], 'themes': ['Fashion', 'Modeling', 'Lifestyle', 'Beauty']}",8.9,[]
12,natgeo,91,10000,237000000,302200,0.07%,159300,3000000000,United States,Education & Nature,"{'age_range': 'All', 'gender': 'Brand', 'languages': ['English']}","{'tone': 'Educational', 'formats': ['Photos', 'Videos', 'Stories'], 'themes': ['Nature', 'Science', 'Wildlife', 'Conservation']}",7.5,[]
13,nike,90,950,234100000,329000,0.08%,181800,313600000,United States,Brand (Sportswear),"{'age_range': 'All', 'gender': 'Brand', 'languages': ['English']}","{'tone': 'Motivational', 'formats': ['Photos', 'Videos', 'Stories'], 'themes': ['Sports', 'Fitness', 'Lifestyle', 'Innovation']}",9.3,[]
14,taylorswift,91,530,222200000,2400000,1.01%,2300000,1300000000,United States,Music,"{'age_range': '30-35', 'gender': 'Female', 'languages': ['English']}","{'tone': 'Personal', 'formats': ['Photos', 'Videos'], 'themes': ['Music', 'Fashion', 'Lifestyle', 'Behind-the-scenes']}",8.6,[]
15,jlo,89,3200,220400000,1700000,0.62%,1400000,5300000000,United States,Music & Film,"{'age_range': '50-55', 'gender': 'Female', 'languages': ['English', 'Spanish']}","{'tone': 'Glamorous', 'formats': ['Photos', 'Videos', 'Reels'], 'themes': ['Music', 'Acting', 'Fashion', 'Fitness']}",8.8,[]
16,virat.kohli,87,1400,211800000,3500000,0.96%,2000000,4900000000,,Sports (Cricket),"{'age_range': '30-35', 'gender': 'Male', 'languages': ['English', 'Hindi']}","{'tone': 'Professional', 'formats': ['Photos', 'Videos'], 'themes': ['Cricket', 'Fitness', 'Lifestyle', 'Family']}",8.2,[]
17,nickiminaj,90,6400,201600000,2100000,0.53%,1000000,13500000000,United States,Music,"{'age_range': '35-40', 'gender': 'Female', 'languages': ['English']}","{'tone': 'Bold', 'formats': ['Photos', 'Videos', 'Stories'], 'themes': ['Music', 'Fashion', 'Lifestyle', 'Entertainment']}",8.7,[]
18,kourtneykardash,89,4400,195200000,1800000,0.67%,1300000,7700000000,United States,Fashion & Reality TV,"{'age_range': '40-45', 'gender': 'Female', 'languages': ['English']}","{'tone': 'Lifestyle', 'formats': ['Photos', 'Stories', 'Reels'], 'themes': ['Fashion', 'Family', 'Wellness', 'Travel']}",8.5,[]
19,mileycyrus,89,1200,181500000,1300000,0.51%,913600,1600000000,,Music,"{'age_range': '30-35', 'gender': 'Female', 'languages': ['English']}","{'tone': 'Edgy', 'formats': ['Photos', 'Videos', 'Stories'], 'themes': ['Music', 'Fashion', 'Performance', 'Lifestyle']}",8.4,[]
20,neymarjr,90,5300,177100000,2700000,1.09%,1900000,14100000000,Brazil,Sports (Football),"{'age_range': '30-35', 'gender': 'Male', 'languages': ['Portuguese', 'Spanish', 'English']}","{'tone': 'Playful', 'formats': ['Photos', 'Videos', 'Stories'], 'themes': ['Football', 'Lifestyle', 'Fashion', 'Entertainment']}",8.6,[]
21,katyperry,92,2000,170300000,715000,0.16%,265100,1500000000,,Music,"{'age_range': '35-40', 'gender': 'Female', 'languages': ['English']}","{'tone': 'Playful', 'formats': ['Photos', 'Videos', 'Stories'], 'themes': ['Music', 'Fashion', 'Entertainment', 'Lifestyle']}",8.3,[]
22,kevinhart4real,88,8200,152000000,522000,0.08%,115200,4300000000,United States,Comedy & Entertainment,"{'age_range': '40-45', 'gender': 'Male', 'languages': ['English']}","{'tone': 'Humorous', 'formats': ['Photos', 'Videos', 'Reels'], 'themes': ['Comedy', 'Acting', 'Fitness', 'Family']}",8.7,[]
23,zendaya,87,3500,150700000,5800000,3.17%,4800000,20600000000,United States,Acting & Fashion,"{'age_range': '25-30', 'gender': 'Female', 'languages': ['English']}","{'tone': 'Sophisticated', 'formats': ['Photos', 'Videos'], 'themes': ['Acting', 'Fashion', 'Beauty', 'Social Justice']}",8.9,[]
24,iamcardib,75,1600,140500000,3100000,1.10%,1500000,5000000000,United States,Music,"{'age_range': '30-35', 'gender': 'Female', 'languages': ['English', 'Spanish']}","{'tone': 'Bold', 'formats': ['Photos', 'Videos', 'Lives'], 'themes': ['Music', 'Fashion', 'Lifestyle', 'Entertainment']}",8.6,[]
25,ddlovato,88,800,139100000,1100000,0.27%,363400,91300000,United States,Music,"{'age_range': '30-35', 'gender': 'Non-binary', 'languages': ['English']}","{'tone': 'Authentic', 'formats': ['Photos', 'Videos', 'Stories'], 'themes': ['Music', 'Mental Health', 'Activism', 'Self-love']}",8.2,[]
26,badgalriri,88,4800,135300000,3700000,0.02%,0,17900000000,United States,Music & Fashion,"{'age_range': '30-35', 'gender': 'Female', 'languages': ['English']}","{'tone': 'Bold', 'formats': ['Photos', 'Videos'], 'themes': ['Music', 'Fashion', 'Beauty', 'Business']}",9.1,[]
27,kingjames,86,2300,130900000,2100000,0.92%,1200000,4900000000,,Sports (Basketball),"{'age_range': '35-40', 'gender': 'Male', 'languages': ['English']}","{'tone': 'Motivational', 'formats': ['Photos', 'Videos', 'Stories'], 'themes': ['Basketball', 'Family', 'Social Justice', 'Business']}",8.8,[]
28,theellenshow,87,10000,125100000,420500,0.07%,81700,4200000000,United States,Entertainment & Talk Show,"{'age_range': '60-65', 'gender': 'Female', 'languages': ['English']}","{'tone': 'Humorous', 'formats': ['Photos', 'Videos', 'Clips'], 'themes': ['Comedy', 'Celebrity', 'Entertainment', 'Social Good']}",8.4,[]
29,realmadrid,90,6900,123400000,996200,0.48%,588300,6800000000,Spain,Sports (Football Club),"{'age_range': 'All', 'gender': 'Brand', 'languages': ['Spanish', 'English']}","{'tone': 'Professional', 'formats': ['Photos', 'Videos', 'Stories'], 'themes': ['Football', 'Team News', 'Behind-the-scenes', 'Fan Engagement']}",8.7,[]
30,champagnepapi,85,5200,119600000,1700000,1.10%,1300000,9000000000,Netherlands,Music,"{'age_range': '35-40', 'gender': 'Male', 'languages': ['English']}","{'tone': 'Luxurious', 'formats': ['Photos', 'Videos'], 'themes': ['Music', 'Lifestyle', 'Fashion', 'Entertainment']}",8.9,[]
31,chrisbrownofficial,86,7300,118500000,463200,0.22%,255900,3400000000,United States,Music,"{'age_range': '30-35', 'gender': 'Male', 'languages': ['English']}","{'tone': 'Artistic', 'formats': ['Photos', 'Videos', 'Stories'], 'themes': ['Music', 'Dance', 'Art', 'Fashion']}",8.3,[]
32,fcbarcelona,90,10000,111400000,1200000,0.64%,706300,11600000000,,Sports (Football Club),"{'age_range': 'All', 'gender': 'Brand', 'languages': ['Spanish', 'English', 'Catalan']}","{'tone': 'Professional', 'formats': ['Photos', 'Videos', 'Stories'], 'themes': ['Football', 'Team Updates', 'Fan Content', 'Club Culture']}",8.8,[]
33,billieeilish,73,690,105200000,8500000,5.02%,5200000,5900000000,,Music,"{'age_range': '20-25', 'gender': 'Female', 'languages': ['English']}","{'tone': 'Alternative', 'formats': ['Photos', 'Videos'], 'themes': ['Music', 'Fashion', 'Art', 'Environmental Activism']}",8.5,[]
34,dualipa,74,1300,85900000,2100000,1.26%,1100000,2600000000,United Kingdom,Music,"{'age_range': '25-30', 'gender': 'Female', 'languages': ['English', 'Albanian']}","{'tone': 'Pop Culture', 'formats': ['Photos', 'Videos', 'Reels'], 'themes': ['Music', 'Fashion', 'Performance', 'Travel']}",8.7,[]
35,gal_gadot,85,1700,85600000,1400000,0.69%,586500,2300000000,United States,Acting,"{'age_range': '35-40', 'gender': 'Female', 'languages': ['English', 'Hebrew']}","{'tone': 'Positive', 'formats': ['Photos', 'Videos'], 'themes': ['Acting', 'Family', 'Fitness', 'Social Causes']}",8.6,[]
36,vindiesel,88,1800,82300000,1400000,0.60%,482300,2500000000,United States,Acting,"{'age_range': '50-55', 'gender': 'Male', 'languages': ['English']}","{'tone': 'Action', 'formats': ['Photos', 'Videos'], 'themes': ['Movies', 'Fitness', 'Family', 'Cars']}",8.4,[]
37,nasa,88,3600,81300000,1200000,1.53%,1200000,4200000000,United States,Science & Space Education,"{'age_range': 'All', 'gender': 'Brand', 'languages': ['English']}","{'tone': 'Educational', 'formats': ['Photos', 'Videos', 'Live'], 'themes': ['Space', 'Science', 'Technology', 'Research']}",7.8,[]
38,priyankachopra,85,3600,81100000,1600000,1.00%,802900,5600000000,United States,Acting & Entertainment,"{'age_range': '35-40', 'gender': 'Female', 'languages': ['English', 'Hindi']}","{'tone': 'Global', 'formats': ['Photos', 'Videos', 'Stories'], 'themes': ['Acting', 'Fashion', 'Culture', 'Philanthropy']}",8.8,[]
39,lalalalisa_m,70,870,80900000,5800000,9.00%,7200000,5100000000,,Music & K-pop,"{'age_range': '25-30', 'gender': 'Female', 'languages': ['Thai', 'Korean', 'English']}","{'tone': 'Trendy', 'formats': ['Photos', 'Videos', 'Dance'], 'themes': ['K-pop', 'Fashion', 'Dance', 'Lifestyle']}",9.0,[]
40,Shakira,88,2000,76100000,975100,0.41%,304700,1900000000,,Music,"{'age_range': '45-50', 'gender': 'Female', 'languages': ['Spanish', 'English']}","{'tone': 'Energetic', 'formats': ['Photos', 'Videos', 'Stories'], 'themes': ['Music', 'Dance', 'Family', 'Philanthropy']}",8.5,[]
41,snoopdogg,86,10000,75300000,203700,0.17%,125800,2000000000,,Music,"{'age_range': '50-55', 'gender': 'Male', 'languages': ['English']}","{'tone': 'Laid-back', 'formats': ['Photos', 'Videos', 'Stories'], 'themes': ['Music', 'Entertainment', 'Lifestyle', 'Cannabis']}",8.2,[]
42,gigihadid,85,3300,75300000,2500000,2.56%,1900000,8200000000,United States,Fashion & Modeling,"{'age_range': '25-30', 'gender': 'Female', 'languages': ['English']}","{'tone': 'High Fashion', 'formats': ['Photos', 'Stories'], 'themes': ['Fashion', 'Modeling', 'Lifestyle', 'Family']}",9.1,[]
43,davidbeckham,86,1500,74900000,1200000,0.46%,340900,1900000000,United States,Sports (Football) & Fashion,"{'age_range': '45-50', 'gender': 'Male', 'languages': ['English']}","{'tone': 'Sophisticated', 'formats': ['Photos', 'Videos'], 'themes': ['Football', 'Fashion', 'Family', 'Business']}",8.9,[]
44,shraddhakapoor,81,1900,73900000,1600000,1.17%,859900,3000000000,,Acting & Entertainment,"{'age_range': '30-35', 'gender': 'Female', 'languages': ['Hindi', 'English']}","{'tone': 'Cheerful', 'formats': ['Photos', 'Videos', 'Reels'], 'themes': ['Acting', 'Fashion', 'Music', 'Lifestyle']}",8.4,[]
45,victoriassecret,88,2900,73200000,147000,0.04%,29800,423500000,United States,Fashion & Lifestyle,"{'age_range': 'All', 'gender': 'Brand', 'languages': ['English']}","{'tone': 'Luxurious', 'formats': ['Photos', 'Videos', 'Stories'], 'themes': ['Fashion', 'Beauty', 'Lifestyle', 'Events']}",9.2,[]
46,k.mbappe,86,1200,72700000,2500000,2.16%,1600000,2800000000,,Sports (Football),"{'age_range': '20-25', 'gender': 'Male', 'languages': ['French', 'English']}","{'tone': 'Dynamic', 'formats': ['Photos', 'Videos', 'Stories'], 'themes': ['Football', 'Lifestyle', 'Fashion', 'Youth']}",8.7,[]
47,nehakakkar,84,2300,70400000,1500000,0.54%,370100,3500000000,India,Music,"{'age_range': '30-35', 'gender': 'Female', 'languages': ['Hindi', 'English']}","{'tone': 'Energetic', 'formats': ['Photos', 'Videos', 'Reels'], 'themes': ['Music', 'Entertainment', 'Fashion', 'Dance']}",8.5,[]
48,nba,87,12900,70100000,370800,0.28%,196900,4800000000,United States,Sports (Basketball),"{'age_range': 'All', 'gender': 'Brand', 'languages': ['English']}","{'tone': 'Professional', 'formats': ['Photos', 'Videos', 'Stories'], 'themes': ['Basketball', 'Sports News', 'Highlights', 'Fan Content']}",8.8,[]
49,shawnmendes,83,2500,69900000,3500000,2.87%,2000000,8800000000,Canada,Music,"{'age_range': '20-25', 'gender': 'Male', 'languages': ['English']}","{'tone': 'Authentic', 'formats': ['Photos', 'Videos'], 'themes': ['Music', 'Performance', 'Lifestyle', 'Mental Health']}",8.6,[]
50,jennierubyjane,76,860,68900000,5100000,8.36%,5700000,4400000000,,Music & K-pop,"{'age_range': '25-30', 'gender': 'Female', 'languages': ['Korean', 'English']}","{'tone': 'Chic', 'formats': ['Photos', 'Videos'], 'themes': ['K-pop', 'Fashion', 'Beauty', 'Lifestyle']}",9.3,[]
51,narendramodi,85,0.54k,68900000,2900000,3.01%,2000000,1.6b,India,Politics,"{'age_range': '70-75', 'gender': 'Male', 'languages': ['Hindi', 'English', 'Gujarati']}","{'tone': 'Professional', 'formats': ['Photos', 'Videos', 'Live'], 'themes': ['Politics', 'Governance', 'Culture', 'Development']}",7.8,[]
52,aliaabhatt,82,1.8k,68700000,1800000,3.14%,2100000,3.3b,India,Acting & Entertainment,"{'age_range': '25-30', 'gender': 'Female', 'languages': ['Hindi', 'English']}","{'tone': 'Vibrant', 'formats': ['Photos', 'Videos', 'Stories'], 'themes': ['Acting', 'Fashion', 'Family', 'Lifestyle']}",8.7,[]
53,deepikapadukone,83,0.26k,68400000,1600000,2.23%,1500000,419.0m,India,Acting & Entertainment,"{'age_range': '35-40', 'gender': 'Female', 'languages': ['Hindi', 'English']}","{'tone': 'Elegant', 'formats': ['Photos', 'Videos'], 'themes': ['Acting', 'Fashion', 'Mental Health', 'Lifestyle']}",8.9,[]
54,tomholland2013,77,1.2k,67700000,5400000,10.83%,7300000,6.6b,,Acting,"{'age_range': '25-30', 'gender': 'Male', 'languages': ['English']}","{'tone': 'Playful', 'formats': ['Photos', 'Videos', 'Stories'], 'themes': ['Acting', 'Behind-the-scenes', 'Fitness', 'Lifestyle']}",8.8,[]
55,ronaldinho,78,2.9k,67700000,872900,0.49%,325700,2.6b,Brazil,Sports (Football),"{'age_range': '40-45', 'gender': 'Male', 'languages': ['Portuguese', 'Spanish', 'English']}","{'tone': 'Joyful', 'formats': ['Photos', 'Videos'], 'themes': ['Football', 'Lifestyle', 'Sports', 'Entertainment']}",8.4,[]
56,emmawatson,87,0.34k,67300000,1900000,0.01%,0,639.0m,United States,Acting,"{'age_range': '30-35', 'gender': 'Female', 'languages': ['English', 'French']}","{'tone': 'Intellectual', 'formats': ['Photos', 'Videos'], 'themes': ['Acting', 'Activism', 'Literature', 'Sustainability']}",8.5,[]
57,bts.bighitofficial,78,1.2k,66900000,4100000,5.40%,3600000,4.9b,Uruguay,Music & K-pop,"{'age_range': '25-30', 'gender': 'Group', 'languages': ['Korean', 'English']}","{'tone': 'Dynamic', 'formats': ['Photos', 'Videos', 'Stories'], 'themes': ['K-pop', 'Music', 'Performance', 'Behind-the-scenes']}",9.4,[]
58,katrinakaif,85,1.0k,66300000,1700000,2.25%,1500000,1.7b,India,Acting & Fashion,"{'age_range': '35-40', 'gender': 'Female', 'languages': ['Hindi', 'English']}","{'tone': 'Graceful', 'formats': ['Photos', 'Videos', 'Reels'], 'themes': ['Acting', 'Fashion', 'Beauty', 'Fitness']}",8.8,[]
59,marvel,82,7.0k,66200000,332300,0.51%,339000,2.3b,Turkey,Entertainment & Media,"{'age_range': 'All', 'gender': 'Brand', 'languages': ['English']}","{'tone': 'Epic', 'formats': ['Photos', 'Videos', 'Trailers'], 'themes': ['Superheroes', 'Movies', 'Comics', 'Entertainment']}",8.9,[]
60,justintimberlake,87,0.78k,65900000,600400,0.30%,189400,470.7m,United States,Music,"{'age_range': '40-45', 'gender': 'Male', 'languages': ['English']}","{'tone': 'Versatile', 'formats': ['Photos', 'Videos', 'Stories'], 'themes': ['Music', 'Performance', 'Acting', 'Family']}",8.6,[]
61,camila_cabello,77,2.9k,65000000,1900000,2.19%,1400000,5.4b,United States,Acting & Music,"{'age_range': '25-30', 'gender': 'Female', 'languages': ['English', 'Spanish']}","{'tone': 'Energetic', 'formats': ['Photos', 'Videos', 'Reels'], 'themes': ['Music', 'Performance', 'Fashion', 'Latin Culture']}",8.7,[]
62,willsmith,82,1.4k,63900000,1400000,0.02%,0,1.9b,United States,Entertainment & Talk Show,"{'age_range': '50-55', 'gender': 'Male', 'languages': ['English']}","{'tone': 'Entertaining', 'formats': ['Photos', 'Videos', 'Reels'], 'themes': ['Acting', 'Comedy', 'Family', 'Motivation']}",9.0,[]
63,raffinagita1717,83,17.5k,63500000,386900,0.58%,366600,6.8b,Indonesia,Acting & Entertainment,"{'age_range': '35-40', 'gender': 'Female', 'languages': ['Indonesian', 'English']}","{'tone': 'Cheerful', 'formats': ['Photos', 'Videos', 'Stories'], 'themes': ['Entertainment', 'Family', 'Lifestyle', 'Music']}",8.5,[]
64,anitta,82,5.1k,63100000,855500,0.69%,426200,4.4b,United States,Music & K-pop,"{'age_range': '30-35', 'gender': 'Female', 'languages': ['Portuguese', 'Spanish', 'English']}","{'tone': 'Bold', 'formats': ['Photos', 'Videos', 'Reels'], 'themes': ['Music', 'Dance', 'Fashion', 'Brazilian Culture']}",8.8,[]
65,sooyaaa__,82,0.83k,62900000,4500000,9.43%,5900000,3.8b,,Acting & Fashion,"{'age_range': '25-30', 'gender': 'Female', 'languages': ['Korean', 'English']}","{'tone': 'Elegant', 'formats': ['Photos', 'Videos'], 'themes': ['K-pop', 'Fashion', 'Beauty', 'Lifestyle']}",9.2,[]
66,maluma,84,8.2k,62800000,1200000,1.12%,696300,9.8b,Colombia,Music & K-pop,"{'age_range': '25-30', 'gender': 'Male', 'languages': ['Spanish', 'English']}","{'tone': 'Charismatic', 'formats': ['Photos', 'Videos', 'Stories'], 'themes': ['Music', 'Fashion', 'Lifestyle', 'Latin Culture']}",8.9,[]
67,akshaykumar,85,1.9k,62800000,1500000,1.01%,624900,2.9b,,Acting & Entertainment,"{'age_range': '50-55', 'gender': 'Male', 'languages': ['Hindi', 'English']}","{'tone': 'Energetic', 'formats': ['Photos', 'Videos', 'Reels'], 'themes': ['Acting', 'Fitness', 'Social Causes', 'Entertainment']}",8.7,[]
68,jacquelinef143,85,2.4k,62700000,1100000,1.15%,718800,2.8b,India,Acting & Fashion,"{'age_range': '35-40', 'gender': 'Female', 'languages': ['English', 'Hindi']}","{'tone': 'Glamorous', 'formats': ['Photos', 'Videos', 'Reels'], 'themes': ['Acting', 'Fashion', 'Fitness', 'Lifestyle']}",8.8,[]
69,psg,86,10.0k,61900000,500500,0.52%,322200,5.0b,France,Sports (Football),"{'age_range': 'All', 'gender': 'Brand', 'languages': ['French', 'English']}","{'tone': 'Professional', 'formats': ['Photos', 'Videos', 'Stories'], 'themes': ['Football', 'Team Updates', 'Behind-the-scenes', 'Fan Content']}",8.9,[]
70,roses_are_rosie,82,0.82k,61800000,4600000,9.72%,6000000,3.8b,,Acting & Fashion,"{'age_range': '25-30', 'gender': 'Female', 'languages': ['Korean', 'English']}","{'tone': 'Sweet', 'formats': ['Photos', 'Videos'], 'themes': ['K-pop', 'Fashion', 'Beauty', 'Lifestyle']}",9.1,[]
71,manchesterunited,85,9.9k,59600000,381800,0.41%,241600,3.8b,United Kingdom,Sports (Football Club),"{'age_range': 'All', 'gender': 'Brand', 'languages': ['English']}","{'tone': 'Professional', 'formats': ['Photos', 'Videos', 'Stories'], 'themes': ['Football', 'Team News', 'Club History', 'Fan Engagement']}",8.8,[]
72,anushkasharma,85,1.2k,59500000,1900000,2.34%,1400000,2.2b,,Acting & Fashion,"{'age_range': '35-40', 'gender': 'Female', 'languages': ['Hindi', 'English']}","{'tone': 'Elegant', 'formats': ['Photos', 'Videos', 'Stories'], 'themes': ['Acting', 'Fashion', 'Family', 'Lifestyle']}",8.7,[]
73,whinderssonnunes,79,2.7k,58700000,1600000,0.58%,323100,4.4b,Brazil,Acting & Fashion,"{'age_range': '25-30', 'gender': 'Male', 'languages': ['Portuguese', 'English']}","{'tone': 'Humorous', 'formats': ['Photos', 'Videos', 'Reels'], 'themes': ['Comedy', 'Entertainment', 'Lifestyle', 'Music']}",8.5,[]
74,9gag,86,10.0k,58100000,672600,0.44%,248600,6.7b,United States,Entertainment & Humor,"{'age_range': 'All', 'gender': 'Brand', 'languages': ['English']}","{'tone': 'Humorous', 'formats': ['Photos', 'Videos', 'Memes'], 'themes': ['Comedy', 'Pop Culture', 'Internet Culture', 'Entertainment']}",8.6,[]
75,marcelotwelve,86,2.7k,58100000,690900,0.78%,448300,1.9b,Brazil,Acting & Fashion,"{'age_range': '35-40', 'gender': 'Male', 'languages': ['Portuguese', 'Spanish', 'English']}","{'tone': 'Athletic', 'formats': ['Photos', 'Videos', 'Stories'], 'themes': ['Football', 'Lifestyle', 'Family', 'Fashion']}",8.4,[]
76,milliebobbybrown,80,0.28k,57600000,4000000,8.63%,5000000,1.1b,United States,Acting,"{'age_range': '15-20', 'gender': 'Female', 'languages': ['English']}","{'tone': 'Youthful', 'formats': ['Photos', 'Videos', 'Stories'], 'themes': ['Acting', 'Fashion', 'Youth Culture', 'Social Causes']}",8.9,[]
77,karimbenzema,42,2.0k,56900000,878500,1.62%,918900,1.8b,Spain,Sports (Football),"{'age_range': '35-40', 'gender': 'Male', 'languages': ['French', 'Arabic', 'Spanish']}","{'tone': 'Professional', 'formats': ['Photos', 'Videos'], 'themes': ['Football', 'Sports', 'Lifestyle', 'Fashion']}",8.6,[]
78,chrishemsworth,86,0.88k,55900000,2800000,3.69%,2100000,2.5b,Australia,Acting,"{'age_range': '35-40', 'gender': 'Male', 'languages': ['English']}","{'tone': 'Charismatic', 'formats': ['Photos', 'Videos', 'Stories'], 'themes': ['Acting', 'Fitness', 'Family', 'Lifestyle']}",9.0,[]
79,karolg,83,3.3k,55600000,3100000,10.25%,5700000,10.1b,India,Sports (Cricket),"{'age_range': '30-35', 'gender': 'Female', 'languages': ['Spanish', 'English']}","{'tone': 'Vibrant', 'formats': ['Photos', 'Videos', 'Reels'], 'themes': ['Music', 'Latin Culture', 'Fashion', 'Lifestyle']}",8.8,[]
80,paulpogba,80,1.3k,55200000,1400000,0.85%,462600,1.8b,France,Sports (Football),"{'age_range': '30-35', 'gender': 'Male', 'languages': ['French', 'English', 'Italian']}","{'tone': 'Stylish', 'formats': ['Photos', 'Videos', 'Stories'], 'themes': ['Football', 'Fashion', 'Lifestyle', 'Family']}",8.7,[]
81,iamzlatanibrahimovic,86,0.87k,55100000,1500000,1.53%,837100,1.3b,,Sports (Football),"{'age_range': '40-45', 'gender': 'Male', 'languages': ['Swedish', 'English', 'Italian']}","{'tone': 'Confident', 'formats': ['Photos', 'Videos'], 'themes': ['Football', 'Sports', 'Lifestyle', 'Personal Brand']}",8.8,[]
82,leonardodicaprio,86,1.7k,54600000,395500,0.20%,107600,669.3m,,Acting,"{'age_range': '45-50', 'gender': 'Male', 'languages': ['English']}","{'tone': 'Environmental', 'formats': ['Photos', 'Videos'], 'themes': ['Acting', 'Environmental Activism', 'Social Causes', 'Art']}",8.9,[]
83,juventus,87,10.0k,54500000,194800,0.25%,135500,1.9b,,Sports (Football Club),"{'age_range': 'All', 'gender': 'Brand', 'languages': ['Italian', 'English']}","{'tone': 'Professional', 'formats': ['Photos', 'Videos', 'Stories'], 'themes': ['Football', 'Team News', 'Club Culture', 'Fan Content']}",8.7,[]
84,zacefron,86,0.66k,54500000,2300000,8.18%,4400000,1.5b,United States,Acting & Fashion,"{'age_range': '30-35', 'gender': 'Male', 'languages': ['English']}","{'tone': 'Charming', 'formats': ['Photos', 'Videos', 'Stories'], 'themes': ['Acting', 'Fitness', 'Travel', 'Lifestyle']}",8.8,[]
85,bellahadid,79,3.2k,54100000,1100000,2.06%,1100000,3.6b,United Kingdom,Fashion & Modeling,"{'age_range': '25-30', 'gender': 'Female', 'languages': ['English', 'Arabic']}","{'tone': 'High Fashion', 'formats': ['Photos', 'Videos', 'Stories'], 'themes': ['Fashion', 'Modeling', 'Beauty', 'Art']}",9.2,[]
86,tatawerneck,86,5.6k,53900000,959800,0.51%,266500,5.4b,Brazil,Acting & Fashion,"{'age_range': '35-40', 'gender': 'Female', 'languages': ['Portuguese', 'English']}","{'tone': 'Humorous', 'formats': ['Photos', 'Videos', 'Reels'], 'themes': ['Comedy', 'Acting', 'Entertainment', 'Lifestyle']}",8.6,[]
87,beingsalmankhan,76,1.2k,53500000,1400000,1.33%,693900,1.6b,India,Acting & Fashion,"{'age_range': '55-60', 'gender': 'Male', 'languages': ['Hindi', 'English']}","{'tone': 'Charismatic', 'formats': ['Photos', 'Videos'], 'themes': ['Acting', 'Fitness', 'Charity', 'Entertainment']}",8.7,[]
